"Año";"NOMBRE_ESTANDAR";"deficit_total";"deficit_base";"share_deficit";"deficit_est";"hogares_deficit";"pob_bog";"share_pob";"poblacion_localidad";"hogares_localidad";"deficit_rate"
2016;"KENNEDY";2e+05;34065;0,128235533270091;25647,1066540182;9159,68094786363;7277543;0,139112877389207;1012399,94705368;361571,409662028;0,0253329790550239
2016;"LOS MARTIRES";2e+05;2756;0,0103747873093313;2074,95746186626;741,056236380806;7277543;0,013894538892639;101118,104256353;36113,6086629831;0,0205201380813654
2016;"PUENTE ARANDA";2e+05;4501;0,0169437292014877;3388,74584029754;1210,26637153484;7277543;0,0371453349843762;270326,772598202;96545,2759279293;0,0125357389049082
2016;"RAFAEL URIBE URIBE";2e+05;20697;0,0779125446085739;15582,5089217148;5565,18175775528;7277543;0,0553582152047934;402871,791556138;143882,782698621;0,038678580253846
2016;"SAN CRISTOBAL";2e+05;25061;0,0943405459938866;18868,1091987773;6738,61042813475;7277543;0,0596323002394608;433976,629181586;154991,653279138;0,0434772472295563
2016;"SANTA FE";2e+05;6201;0,0233432714459954;4668,65428919908;1667,37653185681;7277543;0,0143119189498891;104155,605570332;37198,430560833;0,0448238408642011
2016;"SUBA";2e+05;25665;0,096614265708994;19322,8531417988;6901,01897921386;7277543;0,13520968095236;983994,267147078;351426,523981099;0,019637160283283
2016;"TEUSAQUILLO";2e+05;58;0,000218337323636145;43,6674647272289;15,5955231168675;7277543;0,0201649254721044;146751,112215035;52411,1115053696;0,000297561388585886
2016;"TUNJUELITO";2e+05;9694;0,0364924485401515;7298,4897080303;2606,60346715368;7277543;0,0269319660075906;195998,540694779;69999,478819564;0,037237469637062
2016;"USAQUEN";2e+05;5650;0,021269066871452;4253,8133742904;1519,21906224657;7277543;0,0618543535824501;450147,717933484;160767,042119102;0,00944981659313657
2016;"USME";2e+05;24473;0,0921270572646098;18425,411452922;6580,50409032927;7277543;0,0442300671592973;321886,215644674;114959,362730241;0,0572420021653289
2017;"ANTONIO NARINO";195000;2116;0,00796554787610486;1553,28183584045;554,74351280016;7313244;0,0169826446785905;124198,224299834;44356,5086785122;0,0125064737809019
2017;"BARRIOS UNIDOS";195000;2227;0,00838340034030507;1634,76306635949;583,843952271246;7313244;0,0326155469228465;238525,452840226;85187,6617286521;0,00685362105760059
2017;"BOSA";195000;30077;0,113222960051799;22078,4772101007;7885,17043217883;7313244;0,0743726260671057;543905,161349504;194251,843339109;0,0405925127743244
2017;"CANDELARIA";195000;58;0,000218337323636145;42,5757781090482;15,2056350389458;7313244;0,00332264923832982;24299,3446063202;8678,33735940006;0,00175213689088447
2017;"CHAPINERO";195000;723;0,00272168767222298;530,72909608348;189,5461057441;7313244;0,0180760880417112;132194,842414516;47212,44371947;0,00401474888422123
2017;"CIUDAD BOLIVAR";195000;47419;0,178505819819006;34808,6348647062;12431,6553088236;7313244;0,0841079674738597;615102,0884804;219679,317314429;0,056590012481831
2017;"ENGATIVA";195000;17618;0,0663218442727861;12932,7596331933;4618,84272614046;7313244;0,117694917678824;860731,650545157;307404,160908985;0,0150253097176131
2017;"FONTIBON";195000;6585;0,0247888151059312;4833,81894565659;1726,36390916307;7313244;0,0440834402487889;322392,954898814;115140,341035291;0,0149935625831952
2017;"KENNEDY";195000;34065;0,128235533270091;25005,9289876677;8930,68892416704;7313244;0,139112877389207;1017366,41588935;363345,148531911;0,0245790784884601
2017;"LOS MARTIRES";195000;2756;0,0103747873093313;2023,0835253196;722,529830471286;7313244;0,013894538892639;101614,153189359;36290,7689961996;0,0199094659732052
2017;"PUENTE ARANDA";195000;4501;0,0169437292014877;3304,0271942901;1180,00971224647;7313244;0,0371453349843762;271652,898202479;97018,8922151712;0,0121626797142706
2017;"RAFAEL URIBE URIBE";195000;20697;0,0779125446085739;15192,9461986719;5426,0522138114;7313244;0,0553582152047934;404848,135197164;144588,619713273;0,037527519278983
2017;"SAN CRISTOBAL";195000;25061;0,0943405459938866;18396,4064688079;6570,14516743139;7313244;0,0596323002394608;436105,561932435;155751,986404441;0,0421833796094946
2017;"SANTA FE";195000;6201;0,0233432714459954;4551,9379319691;1625,69211856039;7313244;0,0143119189498891;104666,555388762;37380,9126388437;0,0434898990901331
2017;"SUBA";195000;25665;0,096614265708994;18839,7818132538;6728,49350473351;7313244;0,13520968095236;988821,387966759;353150,495702414;0,01905276528453
2017;"TEUSAQUILLO";195000;58;0,000218337323636145;42,5757781090482;15,2056350389458;7313244;0,0201649254721044;147471,020219315;52668,221506898;0,000288706066084921
2017;"TUNJUELITO";195000;9694;0,0364924485401515;7116,02746532954;2541,43838047484;7313244;0,0269319660075906;196960,038813216;70342,87100472;0,036129295608425
