"Año","Mes","Nacionalidad","Codigo M49","Femenino","Masculino","Indefinido","Total","Ubicación PCM"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","7","10",,"17","(7.128456,-73.183637)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,018","1,303",,"2,321","(7.818934,-72.453226)"
"2012","Junio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","186","236",,"422","(7.927209,-72.507910)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","1",,"2","(0.25129,-76.875963)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","47","75",,"122","(0.814836,-77.662532)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","3",,"3","(10.408582,-75.538003)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","88","94",,"182","(10.445761,-75.516429)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","29","70",,"99","(10.886611,-74.776708)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","5",,"5","(11.117806,-74.232622)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,810","2,333",,"4,143","(11.360009,-72.129330)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1","2",,"3","(11.528919,-72.919681)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","22","24",,"46","(12.586067,-81.702563)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","37","55",,"92","(3.541112,-76.384584)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","1",,"1","(4.452882,-75.766298)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","4,918","6,202",,"11,120","(4.697144,-74.140516)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5","17",,"22","(4.815061,-75.736532)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","478","511",,"989","(6.171601,-75.427454)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","7","4",,"11","(6.185799,-67.483929)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","30","40",,"70","(7.088729,-70.740253)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5","4",,"9","(7.128456,-73.183637)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","1,785","1,888",,"3,673","(7.818934,-72.453226)"
"2012","Julio","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","282","263",,"545","(7.927209,-72.507910)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","5","1",,"6","(0.25129,-76.875963)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","95","126",,"221","(0.814836,-77.662532)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","0","10",,"10","(10.408582,-75.538003)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","462","289",,"751","(10.445761,-75.516429)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","45","68",,"113","(10.886611,-74.776708)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","3,578","3,358",,"6,936","(11.360009,-72.129330)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","2","0",,"2","(11.528919,-72.919681)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","30","28",,"58","(12.586067,-81.702563)"
"2012","Agosto","VENEZUELA (REPÚBLICA BOLIVARIANA DE)","862","33","54",,"87","(3.541112,-76.384584)"
